CODIGO_ESTADO;ESTADO;CODIGO_MUNICIPIO;MUNICIPIO;CODIGO_PARROQUIA;PARROQUIA;CODIGO_CENTRO;CENTRO;DIRECCION;CANTIDAD_MESAS;MESAS_AUTO;VENEZOLANOS;EXTRANJEROS;ELECTORES;TRANSMISION
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101032;UNIDAD EDUCATIVA FUENTE DEL SABER;URBANIZACI‡N CASCO I DERECHA AVENIDA OESTE 5. IZQUIERDA AVENIDA OESTE 7. FRENTE AVENIDA OESTE 8 FRENTE AL PRE ESCOLAR AMADA PRESENCIA CASA;1;1;295;0;295;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101033;UNIDAD EDUCATIVA COP ANDRES ELOY BLANCO;URBANIZACI‡N CASCO 1 IZQUIERDA AVENIDA OESTE 5. FRENTE AVENIDA OESTE 8. DERECHA CALLE PINEDA A DOS CUADRA DETRAS DE MIRAFLORES CASA;1;1;316;0;316;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102004;ESCUELA MUNICIPAL JOSE RAMON CAMEJO;SECTOR SARRIA DERECHA CALLE SAN PEDRO. IZQUIERDA CALLE SANTO DOMINGO. FRENTE CALLE REAL DE SARRIA FRENTE A LA CALLE REAL DE SARRIA CASA;3;3;1361;0;1361;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102005;COLEGIO LA VIRGEN NI•A;SECTOR SARRIA DERECHA CALLE SAN PEDRO. IZQUIERDA CALLE SANTO DOMINGO. FRENTE CALLE REAL DE SARRIA FRENTE A A COMERCIAL DECODAN. C.A. CASA;3;3;1782;0;1782;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102006;COLEGIO SAN FRANCISCO DE SALES;URBANIZACI‡N: CANDELARIA. FRENTE AVENIDA ANDRES BELLO. IZQUIERDA CALLE PARADERO. DERECHA CALLE SALESIANO. REFERENCIA FRENTE A LA TORRE FUNDACION DEL NI•O;8;8;4537;0;4537;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102007;ESCUELA BASICA JOSEFINA DAVIOT;URBANIZACI‡N: CANDELARIA. FRENTE AVENIDA PARADERO. IZQUIERDA CALLE ESQUINA PARADERO. DERECHA AVENIDA VENUS. REFERENCIA FRENTE AL EDIFICIO SAN JOSE DEL AVILA A 50 METROS DE LA CRUZ ROJA INTERNACIONAL;3;3;1674;0;1674;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102008;ESCUELA EXPERIMENTAL VENEZUELA;URBANIZACI‡N: CANDELARIA LOS CAOBOS. FRENTE AVENIDA MEXICO. IZQUIERDA CALLE OESTE DOS. DERECHA AVENIDA SUR 23. REFERENCIA A LA IZQUIERDA PLAZA MORELOS FRENTE AL HOTEL ALBA;9;9;4760;0;4760;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102009;PATRONATO SAN JOSE DE TARBES;URBANIZACI‡N: CANDELARIA LOS CAOBOS. FRENTE AVENIDA ESTE 2. IZQUIERDA AVENIDA SUR 21. DERECHA AVENIDA SUR 23. REFERENCIA FRENTE A LA CLINIC A.L. BRICE•O ROSSI;5;5;2774;0;2774;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102010;LICEO ANDRES BELLO;URBANIZACI‡N LA CANDELARIA IZQUIERDA AVENIDA GALERIA. FRENTE AVENIDA MEXICO. DERECHA CALLE MISERICORDIA AL LADO DEL PARQUE CARABOBO EDIFICIO;23;23;12093;0;12093;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102011;ESCUELA BASICA NACIONAL JOSE ANGEL ALAMO;SECTOR MANDUCA DERECHA CALLE FERRENQUIN. IZQUIERDA CALLE AVENIDA OESTE MANDUCA. FRENTE CALLE AVENIDA ESTE MANDUCA A MEDIA CUADRA DEL RESTAURANTE BARCO DE COLON EDIFICIO;12;12;6375;0;6375;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102012;OFICINA DEL MINISTERIO DEL TRABAJO;SECTOR CANDELARIA DERECHA CALLE FERRENQUIN. IZQUIERDA CALLE NORTE MANDUCA. FRENTE CALLE AVENIDA ESTE MANDUCA AVENIDA SUR 11 A MEDIA CUADRA DEL RESTAURANTE BARCO DE COLON EDIFICIO;4;4;1819;0;1819;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102013;UNIDAD EDUCATIVA LICEO ALCAZAR;SECTOR LA CANDELARIA DERECHA CALLE ROMUALDA. IZQUIERDA CALLE MANDUCA. FRENTE CALLE MANDUCA A ROMUALDA A MEDIA CUADRA DEL BANCO EXTERIOR CASA;6;6;3397;0;3397;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102014;UNIDAD EDUCATIVA COLEGIO LUIS DE CAMOES;SECTOR: LA CANDELARIA. FRENTE AVENIDA SUR 13 ESQUINA DE MIGUELACHOA MISERICORDIA. IZQUIERDA CALLE MIGUELACHO. DERECHA AVENIDA UNIVERSIDAD. REFERENCIA DIAGONAL A LA ESTACION DELMETRO PARQUE CARABOBO;4;4;2233;0;2233;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102015;INSTI TUTO UNITARIO DEL CENTRO;SECTOR: LA CANDELARIA. FRENTE AVENIDA UNIVERSIDAD. IZQUIERDA CALLE SUR 11 ESQUINA DE MISERICORDIA. DERECHA CALLE SUR 13 ESQUINA MONROY. REFERENCIA FRENTE AL  CICPC Y AL LADO DE LA ESTACION DEL METRO PARQUE CARABOBO;6;6;3435;0;3435;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102017;IPOSTEL;SECTOR LA CANDELARIA DERECHA AVENIDA FUERZAS ARMADAS. FRENTE AVENIDA FUERZAS ARMADAS. IZQUIERDA CALLE LA CRUZ PLAZA LA CANDELARIA LOCAL COMERCIAL;5;5;2378;0;2378;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102018;COLEGIO DORA BURGUE•O;SECTOR: LA CANDELARIA. FRENTE AVENIDA AVENIDA OESTE ESTE CON CALLE 19. IZQUIERDA AVENIDA OESTE. DERECHA AVENIDA SUR 21. REFERENCIA DIAGONAL AL CENTRO FINANCIERO PROVINCIAL;2;2;615;0;615;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102019;CENTRO DE EDUCACION INICIAL BOLIVARIANO SIMONCITO;URBANIZACI‡N: CANDELARIA. FRENTE AVENIDA SUR 21 DE BELLAS ARTES. IZQUIERDA CALLE ESTE 1/2 CUADRA DEL BANCO PROVINCIAL. DERECHA CALLE COLIMODIO. REFERENCIA A MEDIA CUADRA DEL CENTRO FINANCIERO PROVINCIAL;2;2;771;0;771;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;2;PQ. CANDELARIA;10102020;DESARROLLO URBANISTICO BELLAS ARTES;SECTOR MEXICO FRENTE AVENIDA MEXICO. IZQUIERDA CALLE SUR 21. DERECHA SENDERO PARCELA 01  EDIFICIO;1;1;236;0;236;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;3;PQ. CATEDRAL;10103001;INSTITUTO CICLO DIVERSIFICADO FERM÷N TORO;URBANIZACI‡N EL SILENCIO DERECHA CALLE SOLIS. IZQUIERDA CALLE MARCOS PARRA. FRENTE CALLE SOLIS A MARCOS PARRA FRENTE  METRO EL SILENCIO EDIFICIO;12;12;6465;0;6465;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;3;PQ. CATEDRAL;10103002;CASA COLONIAL SANTA INêS CANO AMARILLO;SECTOR CANO AMARILLO FRENTE AVENIDA OESTE DOS. DERECHA CALLE REAL DE CANO AMARILLO. IZQUIERDA CALLE GRAN COLOMBIA FRENTE   SENIAT CA•O AMARILLO CON PLAZA ALFREDO SADEL CASA;3;3;1725;0;1725;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;3;PQ. CATEDRAL;10103003;OFICINA CONCEJO MUNICIPAL;SECTOR ESQUINA LA PEDRERA DERECHA AVENIDA SUCRE. IZQUIERDA AVENIDA BARAL. FRENTE AVENIDA UNIVERSIDAD FRENTE AVENIDA BARALT   ESTACI‡N METRO CAPITOLIO Y MACDONALDS, EDIFICIO;4;4;1840;0;1840;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;3;PQ. CATEDRAL;10103004;ESCUELA BµSICA BOL÷VAR;SECTOR CATEDRAL FRENTE AVENIDA OESTE DOS. DERECHA CALLE ESTACION. IZQUIERDA CALLE CANO AMARILLO DETRµS DE LA PLAZA BICENTENARIO EDIFICIO;3;3;1739;0;1739;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;3;PQ. CATEDRAL;10103005;UNIDAD EDUCATIVA SAN RAFAEL DE PAGUITA;SECTOR CATEDRAL FRENTE AVENIDA SUCRE DE CATIA. DERECHA CALLE ESTADIO NENE PADRON MIRAFLORES. IZQUIERDA CALLE PLAZA MARINO ESQUINA VIADUCTO  Y LA IGLESIA SAN RAFAEL DE PAGUITA EDIFICIO;5;5;2678;0;2678;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;3;PQ. CATEDRAL;10103006;UNIDAD EDUCATIVA COLEGIO µVILA;SECTOR: LA HOYADA. FRENTE CALLE DOCTOR DIAZ A PEINERO. IZQUIERDA CALLE DOCTOR DIAZ. DERECHA CALLE PEINERO. REFERENCIA DETRµS DE ESQUINA DEL CHORRO Y MINISTERIO DE CIENCIA Y TECNOLOGIA;4;4;1905;0;1905;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;3;PQ. CATEDRAL;10103008;TORRE EL CHORRO;SECTOR LA HOYADA IZQUIERDA AVENIDA UNIVERSIDAD. DERECHA CALLE PASEO COLON. FRENTE CALLE EL CHORRO FRENTE AL MPPCTII EDIFICIO;1;1;262;0;262;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;3;PQ. CATEDRAL;10103009;TORRE MPPRE (CANCILLERIA);SECTOR DE CONDE A CARMELITAS TORRE MRE PARROQUIA CATEDRAL  CERCA DE HOTEL EL CONDE EDIFICIO;1;1;277;0;277;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104001;ESCUELA BµSICA PRIVADA COLEGIO SAN FRANCISCO JAVIER;SECTOR: MECEDORES. FRENTE CALLE ESQUINA HIJO DE DIOS. IZQUIERDA CALLE ESQUINA SEMINARIO. DERECHA CALLE PRINCIPAL DE MECEDORES. REFERENCIA AL LADO DE LA UNIVERSIDAD CAT‡LICA SANTA ROSA;3;3;1552;0;1552;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104002;UNIDAD EDUCATIVA DISTRITAL JOSê GIL FORTUL;SECTOR: LA PASTORA. FRENTE AVENIDA FINAL AVENIDA BARALT. IZQUIERDA AVENIDA DOS PILITAS. DERECHA AVENIDA ESQUINA SOLITARIO. REFERENCIA FRENTE AL TRIBUNAL SUPREMO DE JUSTICIA.;4;4;2108;0;2108;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104003;AMBULATORIO NORTE;SECTOR: LA PASTORA. FRENTE PROLONGACI‡N AVENIDA BARALT. IZQUIERDA CALLE ESQUINA PORTILLO. DERECHA CALLE ESQUINA DOS PILITAS. REFERENCIA FRENTE AL TRIBUNAL SUPREMO DE JUSTICIA;2;2;765;0;765;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104004;UNIDAD EDUCATIVA DISTRITAL BOLIVARIANA JUAN BAUTISTA ALBERDI;SECTOR: MANICOMIO. FRENTE CALLE REAL EL MOLINO. IZQUIERDA CALLE LIDICE. DERECHA CALLE EL MOLINO. REFERENCIA AL LADO DEL MODULO DE LA POLIC÷A SUBCOMISARIA DE LA PASTORA.;8;8;4313;0;4313;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104005;ESCUELA BµSICA NACIONAL BOLIVARIANA LE‡N TRUJILLO;SECTOR: CAMPO ELIAS DE LIDICE. FRENTE CALLEJ‡N BLOQUE 7 CAMPO ELIAS. IZQUIERDA CALLEJ‡N ESQUINA CERRO. DERECHA CALLEJ‡N ESQUINA REDOMA. REFERENCIA FRENTE AL BLOQUE 7;2;2;941;0;941;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104006;JARD÷N DE INFANCIA DOCTORA  CARMEN VER‡NICA COELLO;SECTOR: MANICOMIO. FRENTE CALLE PRINCIPAL. IZQUIERDA CALLE CAMPO ELIAS. DERECHA CALLE BARRIO SIMON RODRIGUEZ. REFERENCIA FRENTE HOSPITAL DE LIDICE.;2;2;774;0;774;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104010;UNIDAD EDUCATIVA DISTRITAL  ALBERTINA ANDRESSEN;SECTOR: EL POLVORIN Y BARRIO SIN LEY. FRENTE CALLE PRIMERA CALLE . IZQUIERDA CALLEJ‡N LA PILA. DERECHA CALLEJ‡N TIERRA BLANCA. REFERENCIA FRENTE CENTRO ART÷STICO CULTURAL RAFUCHO Y SUS NI•OS. CALLEJ‡N SAN JOSê BARRIO SIN LEY.;2;2;637;0;637;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104011;UNIDAD EDUCATIVA DISTRITAL UNITARIA NUMERO  44;SECTOR LOS GUAYABITOS FRENTE CALLE REAL CAMINO DE LOS ESPA#OLES. DERECHA PROLONGACI‡N CALLE REAL CAMINO DE LOS ESPA#OLES. IZQUIERDA PROLONGACI‡N CALLE REAL CAMINO DE LOS ESPA#OLES DIAGONAL AL RANCHO DE MANOLO CASA;1;1;441;0;441;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104012;UNIDAD EDUCATIVA PRIVADA COLEGIO AGUSTINIANO SAN JUDAS TADEO;SECTOR: LA PASTORA. FRENTE CALLE REAL LA PASTORA . IZQUIERDA CALLE SAN RAFAEL . DERECHA CALLE  NORTE 10. REFERENCIA FRENTE A LA FARMACIA PUERTA CARACAS;7;7;3644;0;3644;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104013;CENTRO DE SALUD INTEGRAL DOCTOR JOSê IZQUIERDO;SECTOR PUERTA CARACAS FRENTE CALLE EL POLVORIN. DERECHA BULEVAR PLAZA ANDRES ELOY BLANCO. IZQUIERDA BULEVAR EL POLVORIN PLAZA ANDRES ELOY BLANCO CASA;3;3;1374;0;1374;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104014;LICEO BOLIVARIANO LINO GALLARDO;SECTOR: LOS MECEDORES. FRENTE CALLE REAL DE LOS MECEDORES. IZQUIERDA PROLONGACI‡N CALLE REAL DE LOS MECEDORES. DERECHA PROLONGACI‡N CALLE REAL DE LOS MECEDORES. REFERENCIA FRENTE A LA RESIDENCIA LOS MECEDORES;6;6;3376;0;3376;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104015;ESCUELA BµSICA NACIONAL PARROQUIA LA PASTORA;SECTOR: LOS MECEDORES. FRENTE CALLE REAL LOS MECEDORES. IZQUIERDA VEREDA AL BLOUE 1 DE LA URBANIZACION DIEGO DE LOZADA. DERECHA VEREDA AL BLOUE 2 DE LA URBANIZACION DIEGO DE LOZADA. REFERENCIA FRENTE PLAZA DIEGO DE LOZADA;2;2;1136;0;1136;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104016;MATERNAL MANUEL CABRê;SECTOR: LOS ROBLES. FRENTE CALLE SEGUNDA  LA TROPICAL. IZQUIERDA CALLE LOS ROBLES. DERECHA CALLEJ‡N TROPICAL. REFERENCIA ESTA SIGNADA CON EL NUMERO 6;2;2;610;0;610;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104017;PRE ESCOLAR MANUEL CABRê;SECTOR LOS ROBLES DERECHA CALLE LOS ROBLES. IZQUIERDA CALLE PRIMERA  LA TROPICAL. FRENTE CALLE SEGUNDA LA TROPICAL FRENTE AUTO REPUESTOS LINDARTE. CASA;2;2;1008;0;1008;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104018;UNIDAD EDUCATIVA NACIONAL BOLIVARIANA CRUCITA DELGADO;SECTOR MANICOMIO IZQUIERDA CALLE LA LOMA. FRENTE CALLE BOLIVAR. DERECHA PROLONGACI‡N CALLE BOLIVAR FRENTE PARQUE INFANTIL EDIFICIO;6;6;3050;0;3050;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104019;UNIDAD EDUCATIVA PRIMAVERA;SECTOR: MANICOMIO. FRENTE CALLE LA CEIBA. IZQUIERDA CALLE 5 DE JULIO. DERECHA CALLE BACHICHE. REFERENCIA FRENTE AUTO REPUESTOS LOS ROBLES;2;2;1031;0;1031;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104020;GRAN FRATERNIDAD UNIVERSAL. FUNDACI‡N DOCTOR SERGE RAYNAUO DE LA FERRIERE;SECTOR LIDICE DERECHA CALLE REAL DEL MANICOMIO Y ESQUINA GUAMITO. IZQUIERDA CALLE TRECE DE JULIO Y ESQUINA MINERVA. FRENTE CALLE NUEVA AGUA SALUD ADYACENTE A LA ESTACI‡N DE SERVICIOS 13 DE JULIO CASA;2;2;1133;0;1133;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104022;UNIDAD EDUCATIVA SAN FRANCISCO JAVIER;SECTOR: LIDICE. FRENTE CALLE REAL DE LIDICE. IZQUIERDA CALLE PRINCIPAL DE LIDICE. DERECHA CALLEJ‡N REAL DE LIDICE. REFERENCIA AL LADO DE LA IGLESIA DE LIDICE.;6;6;3548;0;3548;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104024;UNIDAD EDUCATIVA DISTRITAL  ENRIQUE CHAUMER;SECTOR: LIDICE. FRENTE CALLE REAL DE LIDICE. IZQUIERDA PROLONGACI‡N CALLE REAL DE LIDICE. DERECHA PROLONGACI‡N CALLE REAL DE LIDICE. REFERENCIA AL LADO DEL LICEO BOLIVARIANO PERÈ DE LACROIX;8;8;4232;0;4232;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104025;UNIDAD EDUCATIVA PRIVADA COLEGIO MODERNO;SECTOR: MANICOMIO. FRENTE CALLE PRINCIPAL  MANICOMIO. IZQUIERDA CALLE LOZADA. DERECHA CALLE BACHICHE. REFERENCIA AL LADO DE LA FARMACIA PRINCIPAL;5;5;2602;0;2602;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104026;UNIDAD EDUCATIVA DISTRITAL ANTONIO VAAMONDE;URBANIZACI‡N LA PASTORA DERECHA AVENIDA OESTE 15 ESQUINA SAN PASCUAL. IZQUIERDA AVENIDA OESTE 17 ESQUINA SANTA ANA. FRENTE AVENIDA NORTE 14 BOULEVAR BRASIL FRENTE AL EDIFICIO BRASIL CASA;2;2;649;0;649;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104027;UNIDAD EDUCATIVA PRIVADA INSTITUTO SAN JUDAS TADEO;SECTOR: MECEDORES. FRENTE CALLE CUARTA . IZQUIERDA PROLONGACI‡N CUARTA CALLE. DERECHA CALLE SABANA DEL BLANCO. REFERENCIA ADYACENTE A LA FUNERARIA;2;2;607;0;607;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;4;PQ. LA PASTORA;10104028;LICEO BOLIVARIANO PERÈ DE LA CROIX;SECTOR LIDICE DERECHA CALLE REAL DE MANICOMIO. FRENTE CALLE REAL DE LIDICE. IZQUIERDA PROLONGACI‡N CALLE REAL DE LIDICE AL LADO DE LA COMISAR÷A DIEGO DE LOSADA DE LA POLIC÷A EDIFICIO;6;6;3308;0;3308;T
